Ministry,Dept Code,Dept Name,Division Name,Code 2,Code 3,Code 4,Description,2023-2024 Actual Expenditure,2024-2025 Budget Estimate,2024-2025 Revised Estimate,2025-2026 Budget Estimate,TYPE
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,,,Employees Related Expenses,2094970,2693899,2341609,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A011,,Pay,1098898,1192087,1101420,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A011,A011-1,Pay of Officers,-340264,-380586,-345797,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A011,A011-2,Pay of Other Staff,-758634,-811501,-755623,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A012,,Allowances,996072,1501812,1240189,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A012,A012-1,Regular Allowances,-928359,-1416887,-1155438,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A012,A012-2,Other Allowances (Excluding TA),-67713,-84925,-84751,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A03,,,Operating Expenses,703675,762898,710093,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A04,,,Employees Retirement Benefits,83109,66056,64739,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A05,,,"Grants, Subsidies and Write off Loans",59818,33620,37546,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A09,,,Physical Assets,6839,1200,58651,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A17,AVIATION DIVISION DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A13,,,Repairs and Maintenance,80897,927012,898558,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,,,Employees Related Expenses,10934313,12478430,12478430,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A011,,Pay,5525411,5653848,5639063,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A011,A011-1,Pay of Officers,-991981,-1063989,-1049204,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A011,A011-2,Pay of Other Staff,-4533430,-4589859,-4589859,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A012,,Allowances,5408902,6824582,6839367,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A012,A012-1,Regular Allowances,-5163640,-6539736,-6507971,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A01,A012,A012-2,Other Allowances (Excluding TA),-245262,-284846,-331396,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A03,,,Operating Expenses,1422747,1342990,1393418,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A04,,,Employees Retirement Benefits,135477,135500,137081,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A05,,,"Grants, Subsidies and Write off Loans",81949,82000,82000,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A06,,,Transfers,8799,7200,8836,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A09,,,Physical Assets,173276,209285,172250,,Curnt_exp_on_rev_acct
AVIATION MINISTRY,FC21A18,AIRPORTS SECURITY FORCE DEMANDS FOR GRANTS DEMAND NO. ---,AVIATION DIVISION,A13,,,Repairs and Maintenance,119848,128006,111396,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C01,NO. 001.- CABINET DEMANDS FOR GRANTS DEMAND NO. 001,Special Investment Facilitation Council Division,A01,,,Employees Related Expenses,58462,223249,223249,553810,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C01,NO. 001.- CABINET DEMANDS FOR GRANTS DEMAND NO. 001,Special Investment Facilitation Council Division,A01,A011,,Pay,37685,141500,141500,466115,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C01,NO. 001.- CABINET DEMANDS FOR GRANTS DEMAND NO. 001,Special Investment Facilitation Council Division,A01,A011,A011-1,Pay of Officers,-37685,-141500,-141500,-466115,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C01,NO. 001.- CABINET DEMANDS FOR GRANTS DEMAND NO. 001,Special Investment Facilitation Council Division,A01,A012,,Allowances,20777,81749,81749,87695,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C01,NO. 001.- CABINET DEMANDS FOR GRANTS DEMAND NO. 001,Special Investment Facilitation Council Division,A01,A012,A012-1,Regular Allowances,-20322,-74418,-74418,-79385,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C01,NO. 001.- CABINET DEMANDS FOR GRANTS DEMAND NO. 001,Special Investment Facilitation Council Division,A01,A012,A012-2,Other Allowances (Excluding TA),-455,-7331,-7331,-8310,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C01,NO. 001.- CABINET DEMANDS FOR GRANTS DEMAND NO. 001,Special Investment Facilitation Council Division,A03,,,Operating Expenses,123635,128600,128600,134867,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C01,NO. 001.- CABINET DEMANDS FOR GRANTS DEMAND NO. 001,Special Investment Facilitation Council Division,A13,,,Repairs and Maintenance,46,46,50,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A01,,,Employees Related Expenses,1592830,1932970,1605807,2446217,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A01,A011,,Pay,625908,884658,744219,942803,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A01,A011,A011-1,Pay of Officers,-330169,-471757,-427181,-515136,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A01,A011,A011-2,Pay of Other Staff,-295739,-412901,-317038,-427667,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A01,A012,,Allowances,966922,1048312,861588,1503414,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A01,A012,A012-1,Regular Allowances,-641211,-908474,-736793,-1259264,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A01,A012,A012-2,Other Allowances (Excluding TA),-325711,-139838,-124795,-244150,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A03,,,Operating Expenses,709439,1087099,867721,911259,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A04,,,Employees Retirement Benefits,40357,49200,39785,55200,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A05,,,"Grants, Subsidies and Write off Loans",36813,52710,31872,68000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A09,,,Physical Assets,6437,102963,508690,382278,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21C02,NO. 002.- CABINET DIVISION DEMANDS FOR GRANTS DEMAND NO. 002,CABINET DIVISION,A13,,,Repairs and Maintenance,159343,109462,280532,353017,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21E01,NO. 003.- EMERGENCY RELIEF AND REPATRIATION DEMANDS FOR GRANTS DEMAND NO. 003,CABINET DIVISION,A01,,,Employees Related Expenses,135649,141400,141400,142410,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21E01,NO. 003.- EMERGENCY RELIEF AND REPATRIATION DEMANDS FOR GRANTS DEMAND NO. 003,CABINET DIVISION,A01,A012,,Allowances,135649,141400,141400,142410,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21E01,NO. 003.- EMERGENCY RELIEF AND REPATRIATION DEMANDS FOR GRANTS DEMAND NO. 003,CABINET DIVISION,A01,A012,A012-1,Regular Allowances,,,,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21E01,NO. 003.- EMERGENCY RELIEF AND REPATRIATION DEMANDS FOR GRANTS DEMAND NO. 003,CABINET DIVISION,A01,A012,A012-2,Other Allowances (Excluding TA),-135649,-141400,-141400,-142410,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21E01,NO. 003.- EMERGENCY RELIEF AND REPATRIATION DEMANDS FOR GRANTS DEMAND NO. 003,CABINET DIVISION,A03,,,Operating Expenses,472139,301860,301860,2344655,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21E01,NO. 003.- EMERGENCY RELIEF AND REPATRIATION DEMANDS FOR GRANTS DEMAND NO. 003,CABINET DIVISION,A09,,,Physical Assets,500,500,500,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21E01,NO. 003.- EMERGENCY RELIEF AND REPATRIATION DEMANDS FOR GRANTS DEMAND NO. 003,CABINET DIVISION,A13,,,Repairs and Maintenance,351505,445582,445582,439249,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21B03,INTELLIGENCE BUREAU DEMANDS FOR GRANTS DEMAND NO. ---,CABINET DIVISION,A01,,,Employees Related Expenses,8148828,11115403,10480403,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21B03,INTELLIGENCE BUREAU DEMANDS FOR GRANTS DEMAND NO. ---,CABINET DIVISION,A01,A012,,Allowances,8148828,11115403,10480403,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21B03,INTELLIGENCE BUREAU DEMANDS FOR GRANTS DEMAND NO. ---,CABINET DIVISION,A01,A012,A012-1,Regular Allowances,-8148828,-11115403,-10480403,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21B03,INTELLIGENCE BUREAU DEMANDS FOR GRANTS DEMAND NO. ---,CABINET DIVISION,A03,,,Operating Expenses,3582727,7209511,8344511,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21A01,NO. 004.- ATOMIC ENERGY DEMANDS FOR GRANTS DEMAND NO. 004,CABINET DIVISION,A01,,,Employees Related Expenses,19188860,14124833,14124833,14689826,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21A01,NO. 004.- ATOMIC ENERGY DEMANDS FOR GRANTS DEMAND NO. 004,CABINET DIVISION,A01,A011,,Pay,6950000,6950000,6950000,6955000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21A01,NO. 004.- ATOMIC ENERGY DEMANDS FOR GRANTS DEMAND NO. 004,CABINET DIVISION,A01,A011,A011-1,Pay of Officers,-3127500,-3127500,-3127500,-3130000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21A01,NO. 004.- ATOMIC ENERGY DEMANDS FOR GRANTS DEMAND NO. 004,CABINET DIVISION,A01,A011,A011-2,Pay of Other Staff,-3822500,-3822500,-3822500,-3825000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21A01,NO. 004.- ATOMIC ENERGY DEMANDS FOR GRANTS DEMAND NO. 004,CABINET DIVISION,A01,A012,,Allowances,12238860,7174833,7174833,7734826,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21A01,NO. 004.- ATOMIC ENERGY DEMANDS FOR GRANTS DEMAND NO. 004,CABINET DIVISION,A01,A012,A012-1,Regular Allowances,-5521334,-7087998,-7087998,-7521745,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21A01,NO. 004.- ATOMIC ENERGY DEMANDS FOR GRANTS DEMAND NO. 004,CABINET DIVISION,A01,A012,A012-2,Other Allowances (Excluding TA),-6717526,-86835,-86835,-213081,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21A01,NO. 004.- ATOMIC ENERGY DEMANDS FOR GRANTS DEMAND NO. 004,CABINET DIVISION,A03,,,Operating Expenses,2306193,2421607,2421607,2542260,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21A01,NO. 004.- ATOMIC ENERGY DEMANDS FOR GRANTS DEMAND NO. 004,CABINET DIVISION,A04,,,Employees Retirement Benefits,2720000,2720000,2850000,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P33,NO. 005.- PAKISTAN NUCLEAR REGULATORY AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 005,CABINET DIVISION,A01,,,Employees Related Expenses,1736394,1762942,1762942,1833459,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P33,NO. 005.- PAKISTAN NUCLEAR REGULATORY AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 005,CABINET DIVISION,A01,A011,,Pay,831000,830000,830000,848000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P33,NO. 005.- PAKISTAN NUCLEAR REGULATORY AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 005,CABINET DIVISION,A01,A011,A011-1,Pay of Officers,-535000,-535000,-535000,-550000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P33,NO. 005.- PAKISTAN NUCLEAR REGULATORY AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 005,CABINET DIVISION,A01,A011,A011-2,Pay of Other Staff,-296000,-295000,-295000,-298000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P33,NO. 005.- PAKISTAN NUCLEAR REGULATORY AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 005,CABINET DIVISION,A01,A012,,Allowances,905394,932942,932942,985459,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P33,NO. 005.- PAKISTAN NUCLEAR REGULATORY AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 005,CABINET DIVISION,A01,A012,A012-1,Regular Allowances,-729579,-834942,-834942,-952888,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P33,NO. 005.- PAKISTAN NUCLEAR REGULATORY AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 005,CABINET DIVISION,A01,A012,A012-2,Other Allowances (Excluding TA),-175815,-98000,-98000,-32571,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P33,NO. 005.- PAKISTAN NUCLEAR REGULATORY AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 005,CABINET DIVISION,A03,,,Operating Expenses,92130,98717,98717,207937,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P33,NO. 005.- PAKISTAN NUCLEAR REGULATORY AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 005,CABINET DIVISION,A04,,,Employees Retirement Benefits,215592,,,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N22,NO. 006.- NAYA PAKISTAN HOUSING DEVELOPMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 006,CABINET DIVISION,A01,,,Employees Related Expenses,417290,474053,350909,493012,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N22,NO. 006.- NAYA PAKISTAN HOUSING DEVELOPMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 006,CABINET DIVISION,A01,A011,,Pay,82512,98900,80129,112000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N22,NO. 006.- NAYA PAKISTAN HOUSING DEVELOPMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 006,CABINET DIVISION,A01,A011,A011-1,Pay of Officers,-50500,-60300,-48617,-65000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N22,NO. 006.- NAYA PAKISTAN HOUSING DEVELOPMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 006,CABINET DIVISION,A01,A011,A011-2,Pay of Other Staff,-32012,-38600,-31512,-47000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N22,NO. 006.- NAYA PAKISTAN HOUSING DEVELOPMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 006,CABINET DIVISION,A01,A012,,Allowances,334778,375153,270780,381012,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N22,NO. 006.- NAYA PAKISTAN HOUSING DEVELOPMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 006,CABINET DIVISION,A01,A012,A012-1,Regular Allowances,-303169,-340580,-249063,-351012,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N22,NO. 006.- NAYA PAKISTAN HOUSING DEVELOPMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 006,CABINET DIVISION,A01,A012,A012-2,Other Allowances (Excluding TA),-31609,-34573,-21717,-30000,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N22,NO. 006.- NAYA PAKISTAN HOUSING DEVELOPMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 006,CABINET DIVISION,A03,,,Operating Expenses,84124,90162,82722,94555,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21N22,NO. 006.- NAYA PAKISTAN HOUSING DEVELOPMENT AUTHORITY DEMANDS FOR GRANTS DEMAND NO. 006,CABINET DIVISION,A05,,,"Grants, Subsidies and Write off Loans",34800,1000000,1000000,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A01,,,Employees Related Expenses,467786,538790,478244,560341,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A01,A011,,Pay,154745,183615,160627,182878,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A01,A011,A011-1,Pay of Officers,-42990,-48937,-43156,-48334,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A01,A011,A011-2,Pay of Other Staff,-111755,-134678,-117471,-134544,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A01,A012,,Allowances,313041,355175,317617,377463,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A01,A012,A012-1,Regular Allowances,-168586,-256604,-205389,-269978,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A01,A012,A012-2,Other Allowances (Excluding TA),-144455,-98571,-112228,-107485,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A03,,,Operating Expenses,172086,210030,215270,256641,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A04,,,Employees Retirement Benefits,8616,10902,11880,10145,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A05,,,"Grants, Subsidies and Write off Loans",3500,8800,9700,,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A09,,,Physical Assets,2736,3400,820,675,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P32,NO. 007.- PRIME MINISTER'S OFFICE (INTERNAL) DEMANDS FOR GRANTS DEMAND NO. 007,CABINET DIVISION,A13,,,Repairs and Maintenance,9078,27120,18182,20219,Curnt_exp_on_rev_acct
CABINET SECRETARIAT,FC21P34,NO. 008.- PRIME MINISTER'S OFFICE (PUBLIC) DEMANDS FOR GRANTS DEMAND NO. 008,CABINET DIVISION,A01,,,Employees Related Expenses,567752,677520,567162,704621,Curnt_exp_on_rev_acct
